id,Edificio,P1a,P1b,P2,P3,P4,P5a,P5b,P5c,P5d,P6,P7,P8,P9,P10a,P10b,P10c,P10d,P11,P12,P13,P14,P15,P16
252,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,4,3,3,2,2
253,1,2,1,2,2,1,2,2,3,3,2,2,2,3,1,3,1,1,3,3,2,1,2,2
254,1,3,3,3,3,3,3,3,1,1,3,3,3,2,1,3,2,2,3,4,3,1,2,2
255,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2
256,1,3,3,3,3,3,3,3,1,1,3,3,3,2,1,3,3,3,3,4,3,1,2,2
257,4,2,1,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,1,2,2
258,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,4,3,1,2,2
259,4,2,3,2,2,1,1,2,3,2,2,2,2,1,1,2,1,1,2,3,2,1,2,2
260,4,1,1,1,1,3,1,1,2,3,2,2,1,2,1,1,2,1,1,2,1,1,2,1
261,4,2,3,2,2,1,2,2,3,3,3,3,2,1,1,2,2,2,3,3,2,1,2,2
262,4,2,1,1,2,1,1,2,3,3,1,1,2,1,1,2,1,1,1,3,2,1,1,1
263,4,3,3,3,3,3,2,3,2,3,0,3,3,3,1,3,2,2,3,4,3,2,2,2
264,4,3,3,2,3,3,2,3,1,1,2,3,3,2,1,2,3,2,3,3,3,1,2,2
265,3,2,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2
266,3,2,1,1,1,1,2,2,3,3,3,2,2,1,0,2,2,1,3,3,2,3,2,2
267,3,2,0,1,2,1,1,0,0,0,2,2,2,0,0,0,0,0,1,3,2,1,2,2
268,3,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0,3,2,2
269,3,3,3,4,3,3,0,2,0,0,3,3,2,1,1,1,1,2,3,0,3,3,2,2
270,3,1,1,2,3,3,1,1,2,2,3,3,2,3,1,2,2,1,3,3,3,1,2,2
271,3,2,3,1,3,3,3,3,3,1,2,2,3,2,2,2,2,2,3,3,3,2,2,2
